Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
461,5832750007270,5.42,0.0,6.53,10.01,10.01,2024-01-02
461,35142086513,9.16,0.0,10.53,14.04,14.04,2024-01-02
461,5832750008749,3.28,0.0,7.29,9.92,9.92,2024-01-02
461,35142089502,6.17,0.0,8.09,11.11,11.11,2024-01-02
461,35142089188,9.1,0.0,4.06,5.96,5.96,2024-01-02
461,4427243280018,8.0,0.0,7.89,9.88,9.88,2024-01-02
461,3008850426234,8.0,0.0,3.75,5.46,5.46,2024-01-02
461,4425800554953,7.0,0.0,1.98,3.54,3.54,2024-01-02
461,5716657812075,7.0,23.0,2.25,3.93,3.2,2024-01-02
461,5832750001626,1.12,0.0,4.7,6.55,6.55,2024-01-02
461,5832750010672,3.09,0.0,4.31,5.57,5.57,2024-01-02
461,4425063757585,6.0,0.0,2.35,3.74,3.74,2024-01-02
461,4430582617528,4.0,0.0,5.11,6.42,6.42,2024-01-02
461,4425518314590,8.0,0.0,3.72,5.37,5.37,2024-01-02
461,4425615000031,4.0,0.0,5.11,6.37,6.37,2024-01-02
461,4426871250027,5.0,0.0,2.26,3.25,3.25,2024-01-02
461,4428959956252,3.0,23.0,0.87,2.0,1.63,2024-01-02
461,4430816932880,2.0,0.0,5.03,7.0,7.0,2024-01-02
461,4427820525501,8.0,0.0,3.61,5.24,5.24,2024-01-02
461,35142089502,6.16,0.0,8.02,11.02,11.02,2024-01-02
461,35142083953,5.26,0.0,8.84,11.36,11.36,2024-01-02
461,35142085428,6.0,0.0,3.92,4.97,4.97,2024-01-02
461,3510000945,5.0,0.0,4.07,5.2,5.2,2024-01-02
461,44305185,8.0,23.0,9.68,12.46,10.13,2024-01-02
461,4431172895860,10.0,0.0,23.08,31.36,31.36,2024-01-02
461,5832750008749,9.29,0.0,10.79,14.66,14.66,2024-01-02
461,5832750001626,3.14,0.0,6.12,8.54,8.54,2024-01-02
461,4425250515115,5.0,0.0,10.17,14.54,14.54,2024-01-02
461,4427820525409,4.0,0.0,2.45,2.86,2.86,2024-01-02
461,4431172891113,5.0,0.0,8.39,12.22,12.22,2024-01-02
461,35142092110,6.0,23.0,46.73,90.75,73.78,2024-01-02
461,4425372764487,8.0,23.0,5.67,11.01,8.94,2024-01-02
461,4425250500209,3.0,0.0,2.86,4.2,4.2,2024-01-02
461,35142085428,7.0,0.0,2.86,3.63,3.63,2024-01-02
461,3510000945,9.0,0.0,3.26,4.16,4.16,2024-01-02
461,4425384082618,10.0,0.0,6.12,7.45,7.45,2024-01-02
461,4425010501813,6.0,23.0,3.23,5.66,4.6,2024-01-02
461,4431193731250,2.0,0.0,2.19,3.23,3.23,2024-01-02
461,4428677250507,9.0,0.0,5.13,7.23,7.23,2024-01-02
461,35142089511,3.14,5.0,3.91,5.21,4.95,2024-01-02
461,3510001242,1.19,0.0,4.35,5.87,5.87,2024-01-02
461,35142091977,3.23,0.0,4.96,6.62,6.62,2024-01-02
461,4431172890015,10.0,0.0,8.84,12.38,12.38,2024-01-02
461,35142091977,8.19,0.0,5.35,7.15,7.15,2024-01-02
461,35142089511,9.32,5.0,13.98,18.63,17.74,2024-01-02
461,35142089436,5.16,0.0,5.95,7.55,7.55,2024-01-02
461,4427311654176,7.0,23.0,2.32,3.58,2.9,2024-01-02
461,4431172894951,7.0,0.0,6.67,9.58,9.58,2024-01-02
461,35142089188,9.22,0.0,9.6,14.08,14.08,2024-01-02
461,35142087702,5.25,0.0,14.65,19.36,19.36,2024-01-02
461,5832750001626,7.28,0.0,17.56,24.5,24.5,2024-01-02
461,5832750010672,8.31,0.0,14.17,18.28,18.28,2024-01-02
461,4427174326238,8.0,0.0,5.68,7.27,7.27,2024-01-02
461,4425615009159,9.0,0.0,5.46,6.97,6.97,2024-01-02
461,4427243325075,9.0,0.0,4.67,5.89,5.89,2024-01-02
461,5832750008749,8.26,0.0,8.47,11.52,11.52,2024-01-02
461,35142089140,7.41,0.0,11.46,17.91,17.91,2024-01-02
461,4425010501635,10.0,23.0,1.99,2.84,2.31,2024-01-02
461,4427820526653,9.0,0.0,3.84,4.34,4.34,2024-01-02
461,4425010501635,6.0,23.0,2.22,3.16,2.57,2024-01-02
461,4429755472508,5.0,8.0,6.09,10.95,10.15,2024-01-02
461,4427715908764,2.0,23.0,11.88,15.32,12.46,2024-01-02
461,35142083953,6.23,0.0,9.38,12.05,12.05,2024-01-02
461,4425250500191,2.0,0.0,2.18,3.2,3.2,2024-01-02
461,35142089502,6.28,0.0,19.28,26.48,26.48,2024-01-02
461,5832750008749,3.2,0.0,5.65,7.69,7.69,2024-01-02
461,4425375018276,7.0,0.0,7.1,10.4,10.4,2024-01-02
461,44297898,4.0,23.0,13.93,17.91,14.56,2024-01-02
461,4426929753190,7.0,23.0,14.83,22.41,18.22,2024-01-02
461,4426929757794,10.0,23.0,5.05,7.91,6.43,2024-01-02
461,35142086695,2.17,0.0,7.14,8.27,8.27,2024-01-02
461,3510001242,3.38,0.0,13.54,18.29,18.29,2024-01-02
461,4425482286396,3.0,0.0,2.78,4.14,4.14,2024-01-02
461,4425076520515,2.0,23.0,1.26,2.25,1.84,2024-01-02
461,44304345,10.0,23.0,11.91,15.47,12.58,2024-01-02
461,4425147767955,4.0,0.0,0.83,1.32,1.32,2024-01-02
461,5230091258208,4.0,0.0,1.15,1.67,1.67,2024-01-02
461,5230091258208,2.0,0.0,1.58,2.28,2.28,2024-01-02
461,4426092008096,2.0,0.0,4.3,5.56,5.56,2024-01-02
461,4430037155931,2.0,0.0,3.3,5.07,5.07,2024-01-02
461,4425147765477,10.0,0.0,5.45,7.69,7.69,2024-01-02
461,4431172886927,10.0,0.0,7.96,11.83,11.83,2024-01-02
461,5832750006601,8.12,0.0,6.22,10.69,10.69,2024-01-02
461,4425372780639,8.0,23.0,5.37,9.5,7.73,2024-01-02
461,4425257251390,5.0,23.0,14.2,24.9,20.24,2024-01-02
461,4425372782450,6.0,0.0,4.39,6.61,6.61,2024-01-02
461,5709775753710,8.0,8.0,2.71,4.38,4.07,2024-01-02
461,5709775753710,10.0,8.0,4.87,7.87,7.29,2024-01-02
461,5832750018903,5.27,0.0,9.48,14.59,14.59,2024-01-02
461,5832750001626,7.2,0.0,7.85,10.95,10.95,2024-01-02
461,4425010503183,13.0,23.0,7.3,12.08,9.82,2024-01-02
461,4427715946688,2.0,23.0,10.59,13.74,11.17,2024-01-02
461,6535575500162,7.0,0.0,10.53,14.75,14.75,2024-01-02
461,4427820529253,7.0,8.0,2.19,3.94,3.65,2024-01-02
461,4425405750012,3.0,23.0,3.75,6.01,4.89,2024-01-02
461,35142086513,3.06,0.0,2.18,2.9,2.9,2024-01-02
461,35142086695,7.12,0.0,3.87,4.47,4.47,2024-01-02
461,35142092004,1.16,0.0,8.77,12.18,12.18,2024-01-02
461,4431172890009,10.0,0.0,13.98,19.58,19.58,2024-01-02
461,5832750006601,6.17,0.0,8.08,13.88,13.88,2024-01-02
461,60133206,2.0,23.0,2.03,3.58,2.91,2024-01-02
461,60133206,3.0,23.0,2.36,4.17,3.39,2024-01-02
461,4427243326745,4.0,0.0,7.84,10.08,10.08,2024-01-02
461,4809531766332,6.0,23.0,43.56,73.2,59.52,2024-01-02
461,4809531766332,10.0,23.0,38.25,68.24,55.48,2024-01-02
461,44297991,2.0,23.0,15.58,19.94,16.21,2024-01-02
461,44297991,8.0,23.0,15.57,19.93,16.2,2024-01-02
461,4427513796020,3.0,0.0,3.06,3.99,3.99,2024-01-02
461,4425257258661,2.0,23.0,5.42,8.63,7.01,2024-01-02
461,4427820526848,6.0,0.0,1.27,1.97,1.97,2024-01-02
461,4427715871593,10.0,23.0,14.38,18.57,15.1,2024-01-02
461,44304168,8.0,23.0,16.52,21.41,17.41,2024-01-02
461,4427715871593,4.0,23.0,18.92,24.43,19.87,2024-01-02
461,4425353254554,5.0,23.0,11.38,22.06,17.93,2024-01-02
461,4430037154615,5.0,0.0,2.48,2.91,2.91,2024-01-02
461,4426092008091,4.0,0.0,3.09,3.99,3.99,2024-01-02
461,44297893,9.0,23.0,15.18,19.51,15.86,2024-01-02
461,35142092004,9.12,0.0,6.57,9.12,9.12,2024-01-02
461,4427243325075,6.0,0.0,5.48,6.91,6.91,2024-01-02
461,4427715916378,10.0,23.0,13.2,17.11,13.91,2024-01-02
461,4426929757005,10.0,23.0,5.51,10.13,8.24,2024-01-02
